"","UniProt_Name","Pfam_Name","Distance","Similarity_Score","V3"
"34","Vasoactive intestinal polypeptide receptor 1 (VIP-R-1) (Pituitary adenylate cyclase-activating polypeptide type II receptor) (PACAP type II receptor) (PACAP-R-2) (PACAP-R2) (VPAC1 receptor) (VPAC1R)","Actin",0.393265993265993,0.606734006734007,"Actin_ATPase"
"35","Activin receptor type-1B (EC 2.7.11.30) (Activin receptor type IB) (ACTR-IB) (Activin receptor-like kinase 4) (ALK-4) (Serine/threonine-protein kinase receptor R2) (SKR2)","Actin",0.323529411764706,0.676470588235294,"Actin_ATPase"
"36","Activin receptor type-1-like (EC 2.7.11.30) (Activin receptor-like kinase 1) (ALK-1) (Serine/threonine-protein kinase receptor R3) (SKR3) (TGF-B superfamily receptor type I) (TSR-I)","Actin",0.324125230202578,0.675874769797422,"Actin_ATPase"
"37","Vasoactive intestinal polypeptide receptor 2 (VIP-R-2) (Helodermin-preferring VIP receptor) (Pituitary adenylate cyclase-activating polypeptide type III receptor) (PACAP type III receptor) (PACAP-R-3) (PACAP-R3) (VPAC2 receptor) (VPAC2R)","Actin",0.394374120956399,0.605625879043601,"Actin_ATPase"
"38","3-ketoacyl-CoA thiolase, mitochondrial (EC 2.3.1.16) (Acetyl-CoA acetyltransferase) (EC 2.3.1.9) (Acetyl-CoA acyltransferase) (Acyl-CoA hydrolase, mitochondrial) (EC 3.1.2.-, EC 3.1.2.1, EC 3.1.2.2) (Beta-ketothiolase) (Mitochondrial 3-oxoacyl-CoA thiolase) (T1)","Actin",0.393638676844784,0.606361323155216,"Actin_ATPase"
"39","28S rRNA (cytosine(4447)-C(5))-methyltransferase (EC 2.1.1.-) (Nucleolar protein 1) (Nucleolar protein 2 homolog) (Proliferating-cell nucleolar antigen p120) (Proliferation-associated nucleolar protein p120)","Actin",0.325281803542673,0.674718196457327,"Actin_ATPase"
"40","mRNA decay activator protein ZFP36L2 (Butyrate response factor 2) (EGF-response factor 2) (ERF-2) (TPA-induced sequence 11d) (Zinc finger protein 36, C3H1 type-like 2) (ZFP36-like 2)","Actin",0.324175824175824,0.675824175824176,"Actin_ATPase"
"41","Actin-related protein 2/3 complex subunit 4 (Arp2/3 complex 20 kDa subunit) (p20-ARC)","Actin",0.313725490196079,0.686274509803921,"Actin_ATPase"
"42","Actin, cytoplasmic 1 (EC 3.6.4.-) (Beta-actin) [Cleaved into: Actin, cytoplasmic 1, N-terminally processed]","Actin",0.317757009345794,0.682242990654206,"Actin_ATPase"
"43","Actin, aortic smooth muscle (EC 3.6.4.-) (Alpha-actin-2) (Cell growth-inhibiting gene 46 protein) [Cleaved into: Actin, aortic smooth muscle, intermediate form]","Actin",0.322916666666667,0.677083333333333,"Actin_ATPase"
"44","Actin, cytoplasmic 2 (EC 3.6.4.-) (Gamma-actin) [Cleaved into: Actin, cytoplasmic 2, N-terminally processed]","Actin",0.317901234567901,0.682098765432099,"Actin_ATPase"
"45","Actin, gamma-enteric smooth muscle (EC 3.6.4.-) (Alpha-actin-3) (Gamma-2-actin) (Smooth muscle gamma-actin) [Cleaved into: Actin, gamma-enteric smooth muscle, intermediate form]","Actin",0.32391713747646,0.67608286252354,"Actin_ATPase"
"46","Actin, alpha cardiac muscle 1 (EC 3.6.4.-) (Alpha-cardiac actin) [Cleaved into: Actin, alpha cardiac muscle 1, intermediate form]","Actin",0.320413436692506,0.679586563307494,"Actin_ATPase"
"47","Actin, alpha skeletal muscle (EC 3.6.4.-) (Alpha-actin-1) [Cleaved into: Actin, alpha skeletal muscle, intermediate form]","Actin",0.319559228650138,0.680440771349862,"Actin_ATPase"
"48","Activin receptor type-1 (EC 2.7.11.30) (Activin receptor type I) (ACTR-I) (Activin receptor-like kinase 2) (ALK-2) (Serine/threonine-protein kinase receptor R1) (SKR1) (TGF-B superfamily receptor type I) (TSR-I)","Actin",0.325434439178515,0.674565560821485,"Actin_ATPase"
"49","mRNA decay activator protein ZFP36L1 (Butyrate response factor 1) (EGF-response factor 1) (ERF-1) (TPA-induced sequence 11b) (Zinc finger protein 36, C3H1 type-like 1) (ZFP36-like 1)","Actin",0.324175824175824,0.675824175824176,"Actin_ATPase"
"50","Activated CDC42 kinase 1 (ACK-1) (EC 2.7.10.2) (EC 2.7.11.1) (Tyrosine kinase non-receptor protein 2)","Actin",0.316831683168317,0.683168316831683,"Actin_ATPase"
"51","RNA cytosine C(5)-methyltransferase NSUN2 (EC 2.1.1.-) (Myc-induced SUN domain-containing protein) (Misu) (NOL1/NOP2/Sun domain family member 2) (Substrate of AIM1/Aurora kinase B) (mRNA cytosine C(5)-methyltransferase) (EC 2.1.1.-) (tRNA cytosine C(5)-methyltransferase) (EC 2.1.1.-, EC 2.1.1.203) (tRNA methyltransferase 4 homolog) (hTrm4)","Actin",0.328445747800587,0.671554252199413,"Actin_ATPase"
"52","GATOR1 complex protein NPRL3 (-14 gene protein) (Alpha-globin regulatory element-containing gene protein) (Nitrogen permease regulator 3-like protein) (Protein CGTHBA)","Actin",0.323353293413174,0.676646706586826,"Actin_ATPase"
"53","Activin receptor type-2B (EC 2.7.11.30) (Activin receptor type IIB) (ACTR-IIB)","Actin",0.311965811965812,0.688034188034188,"Actin_ATPase"
"54","ARF GTPase-activating protein GIT2 (ARF GAP GIT2) (Cool-interacting tyrosine-phosphorylated protein 2) (CAT-2) (CAT2) (G protein-coupled receptor kinase-interactor 2) (GRK-interacting protein 2)","Actin",0.324742268041237,0.675257731958763,"Actin_ATPase"
"55","Activating signal cointegrator 1 (ASC-1) (Thyroid receptor-interacting protein 4) (TR-interacting protein 4) (TRIP-4)","Actin",0.319088319088319,0.680911680911681,"Actin_ATPase"
"56","Actin-binding LIM protein 2 (abLIM-2) (Actin-binding LIM protein family member 2)","Actin",0.31275720164609,0.68724279835391,"Actin_ATPase"
"57","Actin remodeling regulator NHS (Congenital cataracts and dental anomalies protein) (Nance-Horan syndrome protein)","Actin",0.31858407079646,0.68141592920354,"Actin_ATPase"
"58","Activating transcription factor 7-interacting protein 1 (ATF-interacting protein) (ATF-IP) (ATF7-interacting protein) (ATFa-associated modulator) (hAM) (MBD1-containing chromatin-associated factor 1) (P621)","Actin",0.325242718446602,0.674757281553398,"Actin_ATPase"
"59","Acetylgalactosaminyl-O-glycosyl-glycoprotein beta-1,3-N-acetylglucosaminyltransferase (EC 2.4.1.147) (Core 3 synthase) (UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 6) (BGnT-6) (Beta-1,3-Gn-T6) (Beta-1,3-N-acetylglucosaminyltransferase 6) (Beta3Gn-T6)","Actin",0.327067669172932,0.672932330827068,"Actin_ATPase"
"60","Actin-histidine N-methyltransferase (EC 2.1.1.85) (Protein-L-histidine N-tele-methyltransferase) (SET domain-containing protein 3) (hSETD3)","Actin",0.321342925659473,0.678657074340527,"Actin_ATPase"
"61","Activating signal cointegrator 1 complex subunit 3 (EC 3.6.4.12) (ASC-1 complex subunit p200) (ASC1p200) (Helicase, ATP binding 1) (Trip4 complex subunit p200)","Actin",0.322851153039832,0.677148846960168,"Actin_ATPase"
"62","Activating signal cointegrator 1 complex subunit 1 (ASC-1 complex subunit p50) (Trip4 complex subunit p50)","Actin",0.317610062893082,0.682389937106918,"Actin_ATPase"
"63","UDP-GalNAc:beta-1,3-N-acetylgalactosaminyltransferase 2 (Beta-1,3-GalNAc-T2) (EC 2.4.1.313) (Beta-1,3-N-acetylgalactosaminyltransferase II)","Actin",0.321342925659473,0.678657074340527,"Actin_ATPase"
"64","Alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase 3 (EC 2.4.3.7) (GalNAc alpha-2,6-sialyltransferase III) (ST6GalNAc III) (ST6GalNAcIII) (STY) (Sialyltransferase 7C) (SIAT7-C)","Actin",0.324225865209472,0.675774134790528,"Actin_ATPase"
"65","Activin receptor type-1C (EC 2.7.11.30) (Activin receptor type IC) (ACTR-IC) (Activin receptor-like kinase 7) (ALK-7)","Actin",0.319088319088319,0.680911680911681,"Actin_ATPase"
"66","NFAT activation molecule 1 (Calcineurin/NFAT-activating ITAM-containing protein) (NFAT-activating protein with ITAM motif 1)","Actin",0.31989247311828,0.68010752688172,"Actin_ATPase"
"67","GATOR1 complex protein NPRL2 (Gene 21 protein) (G21 protein) (Nitrogen permease regulator 2-like protein) (NPR2-like protein) (Tumor suppressor candidate 4)","Actin",0.322649572649573,0.677350427350427,"Actin_ATPase"
"68","Actin-binding protein WASF1 (Protein WAVE-1) (Verprolin homology domain-containing protein 1) (Wiskott-Aldrich syndrome protein family member 1) (WASP family protein member 1)","Actin",0.323809523809524,0.676190476190476,"Actin_ATPase"
"69","Acyl-CoA:lysophosphatidylglycerol acyltransferase 1 (2-acylglycerophosphocholine O-acyltransferase) (EC 2.3.1.62) (Acyl-CoA:monoacylglycerol acyltransferase LPGAT1) (EC 2.3.1.22) (Lysophospholipid acyltransferase 7) (LPLAT7) (EC 2.3.1.-) (Stearoyl-CoA:1-lyso-2-acyl-PE acyltransferase)","Actin",0.327485380116959,0.672514619883041,"Actin_ATPase"
"70","Alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase 6 (EC 2.4.99.-) (GalNAc alpha-2,6-sialyltransferase VI) (ST6GalNAc VI) (ST6GalNAcVI) (hST6GalNAc VI) (Sialyltransferase 7F) (SIAT7-F)","Actin",0.324607329842932,0.675392670157068,"Actin_ATPase"
"71","28S rRNA (cytosine-C(5))-methyltransferase (EC 2.1.1.-) (NOL1-related protein) (NOL1R) (NOL1/NOP2/Sun domain family member 5) (Williams-Beuren syndrome chromosomal region 20A protein)","Actin",0.324225865209472,0.675774134790528,"Actin_ATPase"
"72","Alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase 5 (EC 2.4.99.-) (GD1 alpha synthase) (GalNAc alpha-2,6-sialyltransferase V) (ST6GalNAc V) (ST6GalNAcV) (Sialyltransferase 7E) (SIAT7-E)","Actin",0.324697754749568,0.675302245250432,"Actin_ATPase"
"73","RNA cytidine acetyltransferase (EC 2.3.1.-) (18S rRNA cytosine acetyltransferase) (N-acetyltransferase 10) (N-acetyltransferase-like protein) (hALP)","Actin",0.322072072072072,0.677927927927928,"Actin_ATPase"
"74","Activating signal cointegrator 1 complex subunit 2 (ASC-1 complex subunit p100) (Trip4 complex subunit p100)","Actin",0.317901234567901,0.682098765432099,"Actin_ATPase"
"75","Alpha-1,3/1,6-mannosyltransferase ALG2 (EC 2.4.1.132) (EC 2.4.1.257) (Asparagine-linked glycosylation protein 2 homolog) (GDP-Man:Man(1)GlcNAc(2)-PP-Dol alpha-1,3-mannosyltransferase) (GDP-Man:Man(1)GlcNAc(2)-PP-dolichol mannosyltransferase) (GDP-Man:Man(2)GlcNAc(2)-PP-Dol alpha-1,6-mannosyltransferase)","Actin",0.394517543859649,0.605482456140351,"Actin_ATPase"
"76","Alpha-1,2-mannosyltransferase ALG9 (EC 2.4.1.259) (EC 2.4.1.261) (Asparagine-linked glycosylation protein 9 homolog) (Disrupted in bipolar disorder protein 1) (Dol-P-Man:Man(6)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase) (Dol-P-Man:Man(8)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase)","Actin",0.394212962962963,0.605787037037037,"Actin_ATPase"
"77","Alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase 1 (EC 2.4.3.3) (GalNAc alpha-2,6-sialyltransferase I) (ST6GalNAc I) (ST6GalNAc-I) (ST6GalNAcI) (hST6GalNAc-I) (Sialyltransferase 7A) (SIAT7-A)","Actin",0.325,0.675,"Actin_ATPase"
"78","Alpha-catulin (Alpha-catenin-related protein) (ACRP) (Catenin alpha-like protein 1)","Actin",0.313253012048193,0.686746987951807,"Actin_ATPase"
"79","Alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase 2 (EC 2.4.3.3) (GalNAc alpha-2,6-sialyltransferase II) (ST6GalNAc II) (ST6GalNAcII) (SThM) (Sialyltransferase 7B) (SIAT7-B)","Actin",0.324125230202578,0.675874769797422,"Actin_ATPase"
"80","Actin-binding protein WASF3 (Protein WAVE-3) (Verprolin homology domain-containing protein 3) (Wiskott-Aldrich syndrome protein family member 3) (WASP family protein member 3)","Actin",0.323809523809524,0.676190476190476,"Actin_ATPase"
"81","ARF GTPase-activating protein GIT1 (ARF GAP GIT1) (Cool-associated and tyrosine-phosphorylated protein 1) (CAT-1) (CAT1) (G protein-coupled receptor kinase-interactor 1) (GRK-interacting protein 1) (p95-APP1)","Actin",0.325320512820513,0.674679487179487,"Actin_ATPase"
"82","Actin-binding protein WASF2 (Protein WAVE-2) (Verprolin homology domain-containing protein 2) (Wiskott-Aldrich syndrome protein family member 2) (WASP family protein member 2)","Actin",0.323809523809524,0.676190476190476,"Actin_ATPase"
"83","MAU2 chromatid cohesion factor homolog (MAU-2) (Cohesin loading complex subunit SCC4 homolog)","Actin",0.315412186379928,0.684587813620072,"Actin_ATPase"
"84","Activating transcription factor 7-interacting protein 2 (ATF7-interacting protein 2) (MBD1-containing chromatin-associated factor 2)","Actin",0.320707070707071,0.679292929292929,"Actin_ATPase"
"85","Actin-related protein 2/3 complex subunit 5-like protein (Arp2/3 complex 16 kDa subunit 2) (ARC16-2)","Actin",0.316666666666667,0.683333333333333,"Actin_ATPase"
"86","Actin-related protein 3B (ARP3-beta) (Actin-like protein 3B) (Actin-related protein ARP4)","Actin",0.314606741573034,0.685393258426966,"Actin_ATPase"
"87","Galectin-16","Actin",0.278787878787879,0.721212121212121,"Actin_ATPase"
"88","Ankyrin repeat domain-containing protein 17 (Gene trap ankyrin repeat protein) (Serologically defined breast cancer antigen NY-BR-16)","Ankyrin repeat",0.298245614035088,0.701754385964912,"Ank"
"89","Ankyrin-1 (ANK-1) (Ankyrin-R) (Erythrocyte ankyrin)","Ankyrin repeat",0.363211951447246,0.636788048552754,"Ank"
"90","Ankyrin-2 (ANK-2) (Ankyrin-B) (Brain ankyrin) (Non-erythroid ankyrin)","Ankyrin repeat",0.380262249827467,0.619737750172533,"Ank"
"91","Ankyrin-3 (ANK-3) (Ankyrin-G)","Ankyrin repeat",0.384236453201971,0.615763546798029,"Ank"
"92","Ankyrin repeat domain-containing protein 1 (Cardiac ankyrin repeat protein) (Cytokine-inducible gene C-193 protein) (Cytokine-inducible nuclear protein)","Ankyrin repeat",0.302631578947368,0.697368421052632,"Ank"
"93","Ankyrin repeat domain-containing protein 55","Ankyrin repeat",0.224806201550388,0.775193798449612,"Ank"
"94","Ankyrin repeat domain-containing protein 45","Ankyrin repeat",0.224806201550388,0.775193798449612,"Ank"
"95","Ankyrin repeat and SAM domain-containing protein 6 (Ankyrin repeat domain-containing protein 14) (SamCystin) (Sterile alpha motif domain-containing protein 6) (SAM domain-containing protein 6)","Ankyrin repeat",0.309027777777778,0.690972222222222,"Ank"
"96","Ankyrin repeat domain-containing protein 12 (Ankyrin repeat-containing cofactor 2) (GAC-1 protein)","Ankyrin repeat",0.285714285714286,0.714285714285714,"Ank"
"97","Ankyrin repeat domain-containing protein 11 (Ankyrin repeat-containing cofactor 1)","Ankyrin repeat",0.276422764227642,0.723577235772358,"Ank"
"98","Ankyrin repeat domain-containing protein 13D","Ankyrin repeat",0.227272727272727,0.772727272727273,"Ank"
"99","Ankyrin repeat and SAM domain-containing protein 3","Ankyrin repeat",0.24,0.76,"Ank"
"100","Ankyrin repeat and sterile alpha motif domain-containing protein 1B (Amyloid-beta protein intracellular domain-associated protein 1) (AIDA-1) (E2A-PBX1-associated protein) (EB-1)","Ankyrin repeat",0.307116104868914,0.692883895131086,"Ank"
"101","Ankyrin repeat domain-containing protein 23 (Diabetes-related ankyrin repeat protein) (Muscle ankyrin repeat protein 3)","Ankyrin repeat",0.294117647058824,0.705882352941176,"Ank"
"102","Ankyrin repeat domain-containing protein 46 (Ankyrin repeat small protein) (ANK-S)","Ankyrin repeat",0.276422764227642,0.723577235772358,"Ank"
"103","Ankyrin repeat and LEM domain-containing protein 2 (LEM domain-containing protein 4)","Ankyrin repeat",0.277777777777778,0.722222222222222,"Ank"
"104","Ankyrin repeat domain-containing protein 13B","Ankyrin repeat",0.227272727272727,0.772727272727273,"Ank"
"105","Ankyrin repeat and KH domain-containing protein 1 (HIV-1 Vpr-binding ankyrin repeat protein) (Multiple ankyrin repeats single KH domain) (hMASK)","Ankyrin repeat",0.300925925925926,0.699074074074074,"Ank"
"106","Ankyrin repeat domain-containing protein 13A (Protein KE03)","Ankyrin repeat",0.254237288135593,0.745762711864407,"Ank"
"107","Ankyrin repeat domain-containing protein 36B (CLL-associated antigen KW-1)","Ankyrin repeat",0.27027027027027,0.72972972972973,"Ank"
"108","Ankyrin repeat domain-containing protein 13C","Ankyrin repeat",0.227272727272727,0.772727272727273,"Ank"
"109","Ankyrin repeat and SAM domain-containing protein 4B (Harmonin-interacting ankyrin repeat-containing protein) (Harp)","Ankyrin repeat",0.292753623188406,0.707246376811594,"Ank"
"110","Ankyrin repeat domain-containing protein 53","Ankyrin repeat",0.224806201550388,0.775193798449612,"Ank"
"111","Ankyrin repeat and LEM domain-containing protein 1 (EC 3.1.-.-) (Ankyrin repeat domain-containing protein 41) (LEM-domain containing protein 3)","Ankyrin repeat",0.300699300699301,0.699300699300699,"Ank"
"112","Ankyrin repeat and protein kinase domain-containing protein 1 (EC 2.7.11.1) (Protein kinase PKK2) (Sugen kinase 288) (SgK288) (X-kinase)","Ankyrin repeat",0.299019607843137,0.700980392156863,"Ank"
"113","Ankyrin repeat, SAM and basic leucine zipper domain-containing protein 1 (Ankyrin-like protein 1) (Germ cell-specific ankyrin, SAM and basic leucine zipper domain-containing protein)","Ankyrin repeat",0.307692307692308,0.692307692307692,"Ank"
"114","Ankyrin repeat and SOCS box protein 11 (ASB-11)","Ankyrin repeat",0.234042553191489,0.765957446808511,"Ank"
"115","Ankyrin repeat and SOCS box protein 10 (ASB-10)","Ankyrin repeat",0.234042553191489,0.765957446808511,"Ank"
"116","Ankyrin repeat and SOCS box protein 15 (ASB-15)","Ankyrin repeat",0.234042553191489,0.765957446808511,"Ank"
"117","Ankyrin repeat and SOCS box protein 13 (ASB-13)","Ankyrin repeat",0.234042553191489,0.765957446808511,"Ank"
"118","Ankyrin repeat and SOCS box protein 12 (ASB-12)","Ankyrin repeat",0.234042553191489,0.765957446808511,"Ank"
"119","Ankyrin repeat and SAM domain-containing protein 1A (Odin)","Ankyrin repeat",0.252873563218391,0.747126436781609,"Ank"
"120","Ankyrin repeat and BTB/POZ domain-containing protein 1 (Elongation factor 1A-binding protein)","Ankyrin repeat",0.283154121863799,0.716845878136201,"Ank"
"121","Ankyrin repeat domain-containing protein 9","Ankyrin repeat",0.222222222222222,0.777777777777778,"Ank"
"122","Ankyrin repeat and SOCS box protein 9 (ASB-9)","Ankyrin repeat",0.22962962962963,0.77037037037037,"Ank"
"123","Ankyrin repeat domain-containing protein 27 (VPS9 domain-containing protein)","Ankyrin repeat",0.271929824561404,0.728070175438596,"Ank"
"124","Ankyrin repeat and SOCS box protein 2 (ASB-2)","Ankyrin repeat",0.22962962962963,0.77037037037037,"Ank"
"125","Ankyrin repeat domain-containing protein 2 (Skeletal muscle ankyrin repeat protein) (hArpp)","Ankyrin repeat",0.282051282051282,0.717948717948718,"Ank"
"126","Ankyrin repeat and SOCS box protein 7 (ASB-7)","Ankyrin repeat",0.22962962962963,0.77037037037037,"Ank"
